time,na_item,values,geo
2006-04-01,Inflation,1.1566209871359212,FR
2006-07-01,Inflation,0.10188679245283404,FR
2006-10-01,Inflation,-0.10178308892826564,FR
2007-01-01,Inflation,0.11320754716982098,FR
2007-04-01,Inflation,1.1458725970599346,FR
2007-07-01,Inflation,0.19005738987849835,FR
2007-10-01,Inflation,1.0563511251627369,FR
2008-01-01,Inflation,0.8759983805071992,FR
2008-04-01,Inflation,1.5178604006275809,FR
2008-07-01,Inflation,0.1473600977608492,FR
2008-10-01,Inflation,-0.5239735859891028,FR
2009-01-01,Inflation,-0.4365394328595166,FR
2009-04-01,Inflation,0.5761495814762487,FR
2009-07-01,Inflation,-0.06485084306096225,FR
2009-10-01,Inflation,0.34609560891196994,FR
2010-01-01,Inflation,0.5963929007688374,FR
2010-04-01,Inflation,0.9535714285714292,FR
2010-07-01,Inflation,-0.134432376976685,FR
2010-10-01,Inflation,0.4569768677601121,FR
2011-01-01,Inflation,0.7017420128358772,FR
2011-04-01,Inflation,1.1800959484539708,FR
2011-07-01,Inflation,-0.04845296601370547,FR
2011-10-01,Inflation,0.7929362880886448,FR
2012-01-01,Inflation,0.6252361812497879,FR
2012-04-01,Inflation,0.928612884503772,FR
2012-07-01,Inflation,-0.10486080573690644,FR
2012-10-01,Inflation,0.2810510632534242,FR
2013-01-01,Inflation,0.1013000168833304,FR
2013-04-01,Inflation,0.6274245235284243,FR
2013-07-01,Inflation,0.05028326237806023,FR
2013-10-01,Inflation,0.00335053273470177,FR
2014-01-01,Inflation,0.1775722853218178,FR
2014-04-01,Inflation,0.5183946488294304,FR
2014-07-01,Inflation,-0.206288471136247,FR
2014-10-01,Inflation,-0.14670089687594642,FR
2015-01-01,Inflation,-0.4006811579685381,FR
2015-04-01,Inflation,1.0258473297797406,FR
2015-07-01,Inflation,-0.33184005309441794,FR
2015-10-01,Inflation,-0.10987181621441594,FR
2016-01-01,Inflation,-0.5332977801479882,FR
2016-04-01,Inflation,1.0756651698947866,FR
2016-07-01,Inflation,0,FR
2016-10-01,Inflation,0.11935152338958778,FR
2017-01-01,Inflation,0.2582866982350318,FR
2017-04-01,Inflation,0.6506589160088512,FR
2017-07-01,Inflation,-0.08203714641989428,FR
2017-10-01,Inflation,0.3842490722191211,FR
2018-01-01,Inflation,0.5463586992082619,FR
2018-04-01,Inflation,1.285263397650744,FR
2018-07-01,Inflation,0.3180416345412474,FR
2018-10-01,Inflation,0.02241649854292085,FR
2019-01-01,Inflation,-0.20170327207529656,FR
2019-04-01,Inflation,1.1645439671489466,FR
2019-07-01,Inflation,0.22832498255851696,FR
2019-10-01,Inflation,0.06011516800607407,FR
2020-01-01,Inflation,-0.12648221343874147,FR
2020-04-01,Inflation,0.17096723128066418,FR
2020-07-01,Inflation,0.2560131483296029,FR
2020-10-01,Inflation,-0.21437578814628655,FR
2021-01-01,Inflation,0.7519272083912579,FR
2021-04-01,Inflation,0.9626842270304106,FR
2021-07-01,Inflation,0.68639935397709,FR
2021-10-01,Inflation,0.8914800419520065,FR
2022-01-01,Inflation,1.5868162778609989,FR
2022-04-01,Inflation,2.6334798049720143,FR
2022-07-01,Inflation,1.2668250197941389,FR
2022-10-01,Inflation,1.3031013812874639,FR
2023-01-01,Inflation,1.629362833376216,FR
2023-04-01,Inflation,1.7410626388771566,FR
2023-07-01,Inflation,0.7049651664270777,FR
2023-10-01,Inflation,0.0411782469047661,FR
2024-01-01,Inflation,0.48844739586191793,FR
2024-04-01,Inflation,1.2506826870562568,FR
2024-07-01,Inflation,0.31555100059334423,FR
2024-10-01,Inflation,-0.3844602769189349,FR
1987-07-01,PriceOil,16.891173342786242,FR
1987-10-01,PriceOil,14.718721686846225,FR
1988-01-01,PriceOil,12.6955816781516,FR
1988-04-01,PriceOil,13.261530872317683,FR
1988-07-01,PriceOil,12.868175287356324,FR
1988-10-01,PriceOil,11.595317439972655,FR
1989-01-01,PriceOil,15.62777481797194,FR
1989-04-01,PriceOil,17.527692450898257,FR
